Name,Score
charlie,475
hen,50
john,25
￿johnnnny,320
￿jane,1990
dave,110
h,0
g,0
t,0
￿jim,0
jimmy,0
adam,5
hi,0
yi,0
￿￿￿￿￿georg,0
fjdfjsdkcn,0
git,30
jim,0
hi,0
q,0
paul,0
gertrude,0
￿hello,0
